uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,avg,weighted_avg
1279506,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
50179,15,0.0,0.4,0.6,0.09770114942528736,1.0,1.0,0.4496168582375479,0.4077586206896551
98821,7,0.0,0.42857142857142855,0.5714285714285714,0.005747126436781609,1.0,1.0,0.42952928297755877,0.38238916256157635
4205124,57,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.011494252873563218,0.9824561403508771,1.0,0.3410969953619682,0.26895543456342
194054,7,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,1.0,0.35714285714285715,0.3452380952380952
4765772,1,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.25
306191,1,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.4166666666666667
98316,16,0.1875,0.5,0.3125,0.017241379310344827,1.0,1.0,0.38829022988505746,0.33243534482758624
85516,10,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
3085,37,0.35135135135135137,0.24324324324324326,0.40540540540540543,0.0,0.9459459459459459,0.972972972972973,0.3918918918918919,0.30405405405405406
111123,11,0.9090909090909091,0.09090909090909091,0.0,0.0,0.9090909090909091,1.0,0.3181818181818182,0.17424242424242423
1955342,199,0.592964824120603,0.33668341708542715,0.07035175879396985,0.005747126436781609,0.9798994974874372,0.9949748743718593,0.34266639711969815,0.24013024894587884
4714580,1,1.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.16666666666666666
420883,18,0.2777777777777778,0.6666666666666666,0.05555555555555555,0.017241379310344827,0.9444444444444444,1.0,0.33620689655172414,0.2913473818646232
1068549,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666667,0.6666666666666667,0.2777777777777778,0.19444444444444442
449555,3,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
2104887,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
105497,2,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
5745229,22,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
1198089,151,0.052980132450331126,0.5761589403973509,0.3708609271523179,0.09195402298850575,0.9536423841059603,0.9867549668874173,0.40274288904113065,0.3745337596102611
79386,4,0.0,1.0,0.0,0.0,0.25,0.75,0.20833333333333334,0.2708333333333333
1772032,29,0.0,1.0,0.0,0.0,0.9655172413793104,1.0,0.32758620689655177,0.33045977011494254
57884,16,0.0,1.0,0.0,0.0,0.8125,1.0,0.3020833333333333,0.3177083333333333
2486788,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
86051,48,0.0,1.0,0.0,0.0,0.9583333333333334,0.9791666666666666,0.3263888888888889,0.3298611111111111
1870904,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
2081851,3,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
5509234,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
2874370,8,0.0,1.0,0.0,0.022988505747126436,0.875,0.875,0.31633141762452105,0.3286637931034483
1617449,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
147510,1,0.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.25
2226712,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
2082341,5,1.0,0.0,0.0,0.005747126436781609,1.0,1.0,0.3342911877394636,0.16810344827586207
842807,21,0.7142857142857143,0.047619047619047616,0.23809523809523808,0.0,0.7619047619047619,1.0,0.3333333333333333,0.21428571428571427
3942402,1,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
26687,7,0.0,1.0,0.0,0.0,0.4285714285714286,1.0,0.2380952380952381,0.28571428571428575
474183,2,0.0,0.5,0.5,0.0,1.0,1.0,0.4166666666666667,0.375
806988,5,0.0,1.0,0.0,0.017241379310344827,1.0,1.0,0.33620689655172414,0.33764367816091956
