uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_aubervilliers_bbox
50179,25,0.04,0.52,0.44,0.09345794392523364,0.8,1.0,6,0.0,2.300781516666667,48.91868341666666,2.3737299166666674,48.963294383333334,4590722.299695461,6313096.677565664
4765772,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,2.3885365,48.9129464,2.3885365,48.9129464,0.0,6313096.677565664
12295,2,0.0,1.0,0.0,0.0,0.5,1.0,1,0.0,2.3332663,39.4424542,22.117082,49.7862801,4.3052099588544446E11,6313096.677565664
2378798,6,0.0,1.0,0.0,0.0,0.5,1.0,6,0.0,2.2115120166666666,48.95015725,2.3653910833333334,49.04381853333333,2.227467790908477E7,6313096.677565664
306191,1,0.0,0.0,1.0,0.037383177570093455,1.0,1.0,1,0.0,-6.0231488,42.2213689,10.3544011,51.0417258,4.018096473512832E11,6313096.677565664
98316,17,0.17647058823529413,0.5294117647058824,0.29411764705882354,0.014018691588785047,0.9411764705882353,1.0,2,0.0,2.3981966,48.9008676,2.5070302,48.941570049999996,5.9742864247160956E7,6313096.677565664
3085,63,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.8095238095238095,0.9841269841269842,5,0.18490857650323178,2.316620266666667,48.865442744444444,2.5483192333333338,49.02013987777778,1.5317857795157706E7,6313096.677565664
4714580,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,2.38256,48.9136616,2.38256,48.9136616,0.0,6313096.677565664
420883,29,0.1724137931034483,0.7931034482758621,0.034482758620689655,0.06074766355140187,0.6206896551724138,1.0,8,0.0,-1.8947391875000001,44.6195291625,5.9896736625,50.230456537500004,1.1518070793629204E11,6313096.677565664
449555,6,0.0,1.0,0.0,0.0,0.33333333333333337,1.0,3,0.0,2.0852574666666666,48.783704666666665,2.441655066666667,49.089258699999995,5.885803505492883E8,6313096.677565664
105497,2,0.0,1.0,0.0,0.0,0.5,1.0,1,0.0,2.3837708,48.922986,2.3896079,48.9241224,255652.1686249536,6313096.677565664
1198089,158,0.05063291139240506,0.5949367088607594,0.35443037974683544,0.07476635514018691,0.8670886075949367,0.9873417721518988,24,0.0,-3.092510142424244,43.38538645151515,7.320868093939397,49.58591973333332,3.2998832498661552E10,6313096.677565664
2309182,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,2.364569,48.9075478,2.3658851,48.9076612,15051.946205785569,6313096.677565664
86051,57,0.0,1.0,0.0,0.037383177570093455,0.9649122807017544,0.9824561403508771,1,0.0,2.3702679,48.8783755,2.4705341,48.9053743,6.5810831240033805E7,6313096.677565664
1870904,2,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,2.3700979,48.9003702,2.3716041,48.9025084,48849.51522500328,6313096.677565664
2081851,3,0.0,1.0,0.0,0.0,0.6666666666666667,1.0,1,0.8053863745315714,2.3986649000000004,48.9181825,2.403485566666667,48.918321600000006,214226.8562981755,6313096.677565664
5509234,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,-5.2904454,42.2564967,8.9716704,51.6578072,1.8157192846855975E11,6313096.677565664
2874370,8,0.0,1.0,0.0,0.018691588785046728,0.875,0.875,1,0.0,2.3669402,48.9058509,2.368123,48.9067323,2781.371084836999,6313096.677565664
70696,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-122.9801746,-37.8824109,153.1176482,70.089821,0.0,6313096.677565664
58410,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.1825155782628611,2.3507362,48.894864,2.3839592,48.8985697,9305533.376854783,6313096.677565664
