uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_stuhr_bbox
63107,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0027182379732368827,6.8592869,52.1617294,12.9344113,54.2462396,1.5222424403863388E11,4.137817205930928E8
2846895,4,0.0,1.0,0.0,0.004901960784313725,0.75,1.0,1,1.0,8.7493793,52.9825163,8.8123873,53.0371162,7.260304598669407E7,4.137817205930928E8
64134,4,0.0,1.0,0.0,0.0,0.75,1.0,1,1.0,8.7336342,53.0331484,8.735361,53.0334915,3597.354738182052,4.137817205930928E8
6732000,33,0.42424242424242425,0.12121212121212122,0.45454545454545453,0.014705882352941176,1.0,1.0,1,1.0,8.737049,53.0402595,8.7379787,53.0410328,15003.350455342124,4.137817205930928E8
1817244,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.03047154828607009,8.6132148,52.9945509,9.1021481,53.5227808,5.865002372654803E9,4.137817205930928E8
16008,2,0.5,0.5,0.0,0.0,0.5,0.5,2,1.0,-164.02817950000002,-45.76849525,168.2294556,75.36075545,0.0,4.137817205930928E8
34953,1,0.0,1.0,0.0,0.004901960784313725,0.0,1.0,1,1.0,8.6749691,53.004537,8.7076186,53.0300827,1.707164178863699E7,4.137817205930928E8
42123,28,0.0,0.9642857142857143,0.03571428571428571,0.029411764705882353,0.6785714285714286,1.0,5,0.0,8.289077659999998,52.371518800000004,10.23567358,52.83702282,7.440030348270733E9,4.137817205930928E8
201359,262,0.916030534351145,0.061068702290076333,0.022900763358778626,0.04411764705882353,0.9770992366412213,0.9923664122137404,2,4.106552415944587E-5,-24.4211754,45.8494522,17.0134851,56.47109016666667,1.007613391190369E13,4.137817205930928E8
88204,389,0.9974293059125964,0.002570694087403599,0.0,0.11274509803921569,0.9640102827763496,0.9897172236503856,1,3.0501782554112736E-4,5.868981928571429,47.27173176428571,15.039851321428575,55.05450129285713,1.356582094371072E12,4.137817205930928E8
76428,4,0.0,1.0,0.0,0.0,0.5,1.0,1,0.9738278261906681,8.8008221,53.05676375,8.8134856,53.06953585,3580351.257487483,4.137817205930928E8
601223,172,0.3023255813953488,0.43023255813953487,0.26744186046511625,0.0392156862745098,0.9651162790697675,0.9767441860465116,11,1.0,8.775246884210526,53.05050856315789,8.77701594736842,53.05241997894736,76414.35866368274,4.137817205930928E8
44174,6,0.0,1.0,0.0,0.004901960784313725,0.5,1.0,2,0.005112207379899175,8.1706591,50.48206655,9.08095935,53.415096,8.093993256612637E10,4.137817205930928E8
329877,7,0.0,1.0,0.0,0.0,0.5714285714285714,0.8571428571428572,1,0.0,-117.2671425,30.5591641,21.3175181,56.1224303,2.5804109539948387E13,4.137817205930928E8
324245,21,0.6666666666666666,0.3333333333333333,0.0,0.0,0.9523809523809523,0.9523809523809523,2,1.0,8.740613533333333,53.04628623333334,8.740999549999998,53.04658889999999,2391.663716973415,4.137817205930928E8
12945,20,1.0,0.0,0.0,0.0,0.9,0.95,1,1.0,8.7143113,53.052361,8.7151527,53.052796,6378.693030766048,4.137817205930928E8
416407,8,0.0,1.0,0.0,0.004901960784313725,0.5,0.875,1,0.3631083322947605,8.683234299999999,53.0371976,8.76784065,53.08509225,7.350531251306723E7,4.137817205930928E8
40595,13,0.46153846153846156,0.5384615384615384,0.0,0.029411764705882353,0.7692307692307692,0.9230769230769231,1,0.5881487158367534,8.8021765,53.018997,8.8350154,53.0313673,5870834.794195613,4.137817205930928E8
251543,1,0.0,1.0,0.0,0.0,0.0,1.0,1,3.6440849476905015E-4,6.1437509,47.1269148,14.3699882,54.3317277,1.1354886796899006E12,4.137817205930928E8
795290,22,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.05392156862745098,0.8636363636363636,0.9545454545454546,1,1.0,8.8088234,53.0296512,8.8149231,53.0319723,206181.9582800756,4.137817205930928E8
53911,2,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,7.155965,48.6786367,12.1811856,53.0927728,4.347812893452916E11,4.137817205930928E8
55960,22,0.6363636363636364,0.36363636363636365,0.0,0.004901960784313725,0.7727272727272727,1.0,1,0.5372237244447123,8.77458905,53.03646295,8.854337950000001,53.069023599999994,3.96102721011059E7,4.137817205930928E8
59547,9,0.2222222222222222,0.7777777777777778,0.0,0.049019607843137254,0.4444444444444444,1.0,2,0.7794310689261209,8.60800485,52.9593637,8.81769525,53.04142025,2.571968097285839E8,4.137817205930928E8
90780,14,0.0,1.0,0.0,0.0,0.9285714285714286,1.0,1,3.238240864448209E-4,5.5996693,46.9275088,14.279166,54.5513105,1.2777978473926787E12,4.137817205930928E8
626345,14,1.0,0.0,0.0,0.00980392156862745,0.9285714285714286,1.0,1,1.0,8.7118969,53.0492682,8.7122635,53.0494995,1607.7260878442873,4.137817205930928E8
2073275,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,8.8150433,53.0469738,8.8170603,53.0480665,39043.731357888704,4.137817205930928E8
12966,1,0.0,1.0,0.0,0.004901960784313725,1.0,1.0,1,0.40464716884095275,8.7576476,52.9449485,8.7989042,52.9693924,1.8561078190408606E7,4.137817205930928E8
1260731,22,0.22727272727272727,0.7272727272727273,0.045454545454545456,0.04411764705882353,0.9090909090909091,1.0,2,0.9617222285348687,8.71856395,53.02101425,8.76576525,53.063553600000006,4.297615062785389E7,4.137817205930928E8
4665071,1,1.0,0.0,0.0,0.0,1.0,1.0,1,0.020057081825611115,8.605452,53.0327534,8.8123621,53.2780458,1.183136532518062E9,4.137817205930928E8
573089,394,0.9873096446700508,0.012690355329949238,0.0,0.0,0.9898477157360406,1.0,1,1.0,8.772451100000001,53.04880465,8.774991,53.051137600000004,127515.71066185345,4.137817205930928E8
1494719,54,0.0,1.0,0.0,0.00980392156862745,0.9814814814814815,1.0,1,1.0,8.6658953,52.9584721,8.7921545,53.0429213,2.063007026785769E8,4.137817205930928E8
1101497,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-53.3453258,4.7469588,17.7801605,53.0615292,4.611505116997467E13,4.137817205930928E8
639648,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.038852155388299135,8.7365504,53.0473975,8.9673866,53.1705647,4.9994074469601685E8,4.137817205930928E8
