uid;total_contributions;p_creation;p_modification;p_delete;p_is_used;p_is_edited;p_is_deleted;nbWeeks;focalisation
70145;23;0.6086956521739131;0.391304347826087;0.0;0.09574468085106383;0.8695652173913043;1.0;1;1.0
0;3;0.0;0.3333333333333333;0.6666666666666666;0.031914893617021274;0.6666666666666667;1.0;2;0.0
437764;2;0.0;1.0;0.0;0.010638297872340425;0.5;1.0;1;0.0
50179;64;0.0;0.046875;0.953125;0.0425531914893617;0.984375;0.984375;2;0.0
2814510;16;0.625;0.375;0.0;0.02127659574468085;0.875;1.0;1;0.0
246277;1;0.0;1.0;0.0;0.0;0.0;1.0;1;1.0
196617;1;0.0;1.0;0.0;0.0;1.0;1.0;1;1.0
306191;1;0.0;0.0;1.0;0.0;1.0;1.0;1;0.0
1845264;4258;0.712775951150775;0.2766557069046501;0.010568341944574918;0.6914893617021277;0.9929544387036168;0.9981211836542978;12;0.0
85516;4;0.0;1.0;0.0;0.0;0.25;1.0;2;1.0
297482;3;0.0;0.3333333333333333;0.6666666666666666;0.0;0.6666666666666667;1.0;2;0.0
22031;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
438807;18;0.9444444444444444;0.05555555555555555;0.0;0.0;0.9444444444444444;0.9444444444444444;4;0.0
355857;1;1.0;0.0;0.0;0.0;1.0;1.0;1;1.0
420883;229;0.1703056768558952;0.14847161572052403;0.6812227074235808;0.18085106382978725;0.9432314410480349;0.9956331877729258;12;0.0
216598;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
1972747;29;0.8620689655172413;0.13793103448275862;0.0;0.031914893617021274;0.9310344827586207;1.0;2;1.0
449555;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
5657;672;0.9970238095238095;0.002976190476190476;0.0;0.0;0.9821428571428571;0.9910714285714286;3;0.0
1198089;210;0.0;0.5190476190476191;0.48095238095238096;0.06382978723404255;1.0;1.0;2;0.0
42011;6;0.16666666666666666;0.5;0.3333333333333333;0.010638297872340425;0.33333333333333337;1.0;2;0.0
79386;13;0.0;0.9230769230769231;0.07692307692307693;0.0;0.7692307692307692;1.0;5;0.0
39964;1;0.0;1.0;0.0;0.05319148936170213;1.0;1.0;1;0.0
1717765;5;0.0;0.8;0.2;0.1595744680851064;0.6;1.0;1;0.30817136818240204
99872;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.8537138651443639
5123180;1;1.0;0.0;0.0;0.0;1.0;0.0;1;0.0
563758;11;0.09090909090909091;0.9090909090909091;0.0;0.0;0.8181818181818181;1.0;2;0.0
5509234;2;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
70696;2;0.0;1.0;0.0;0.010638297872340425;0.0;1.0;2;0.0
42027;199;0.9346733668341709;0.06030150753768844;0.005025125628140704;0.07446808510638298;0.9346733668341709;0.9949748743718593;1;0.0
181804;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
590907;2;0.0;1.0;0.0;0.010638297872340425;0.5;1.0;1;0.0
1347117;500;0.416;0.502;0.082;0.35106382978723405;0.958;0.988;16;1.0
143932;1;0.0;1.0;0.0;0.0;1.0;0.0;1;0.0
179778;53;0.4528301886792453;0.5094339622641509;0.03773584905660377;0.11702127659574468;0.8679245283018868;0.9811320754716981;4;0.0
474183;2;0.0;1.0;0.0;0.0425531914893617;0.5;1.0;1;0.05869845604741375
46145;37;0.8378378378378378;0.13513513513513514;0.02702702702702703;0.010638297872340425;0.8648648648648649;0.972972972972973;3;0.0
2133601;3;0.6666666666666666;0.3333333333333333;0.0;0.0;0.33333333333333337;1.0;1;1.0
1438301;91;0.24175824175824176;0.7142857142857143;0.04395604395604396;0.20212765957446807;0.967032967032967;0.989010989010989;1;0.0
24657;5;1.0;0.0;0.0;0.0;0.4;1.0;1;1.0
2394737;9;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;1.0;2;1.0
1429581;8;0.0;1.0;0.0;0.0;0.75;1.0;3;0.0
389208;1;1.0;0.0;0.0;0.0;0.0;1.0;1;1.0
417368;403;0.5781637717121588;0.3349875930521092;0.08684863523573201;0.26595744680851063;0.9429280397022333;0.9950372208436724;9;1.0
88164;7;0.0;1.0;0.0;0.0;0.7142857142857143;0.5714285714285714;1;0.0
158826;6084;4.930966469428008E-4;0.9995069033530573;0.0;0.0;0.9983563445101906;0.9990138067061144;5;0.0
573539;1848;0.36796536796536794;0.5627705627705628;0.06926406926406926;0.7659574468085106;0.9767316017316018;0.9902597402597403;12;0.0
806013;515;0.8194174757281554;0.13203883495145632;0.04854368932038835;0.30851063829787234;0.9572815533980582;0.9902912621359223;3;0.2747135476217898
140915;70;0.42857142857142855;0.5714285714285714;0.0;0.11702127659574468;0.8857142857142857;0.9714285714285714;3;0.05843885862603674
1778799;2;0.0;1.0;0.0;0.0;1.0;0.5;1;0.0
31866;3549;0.759650605804452;0.21837137221752606;0.02197802197802198;0.5425531914893617;0.9861932938856016;0.9960552268244576;28;0.0
135299;9;0.2222222222222222;0.7777777777777778;0.0;0.0;0.6666666666666667;0.8888888888888888;2;0.0
163973;4;0.0;1.0;0.0;0.0;0.75;1.0;1;0.00672766628813659
124550;2;0.5;0.5;0.0;0.0;1.0;1.0;1;0.0
71304;17;0.7647058823529411;0.11764705882352941;0.11764705882352941;0.0425531914893617;0.8235294117647058;1.0;1;0.1855190158458314
1107610;8;0.0;1.0;0.0;0.0;0.625;1.0;1;0.4687215291398341
1965713;373;0.8552278820375335;0.1447721179624665;0.0;0.10638297872340426;0.9785522788203753;0.9973190348525469;7;1.0
221846;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
26262;5;0.0;0.4;0.6;0.06382978723404255;0.8;1.0;1;0.5688835967074409
1208453;36;0.05555555555555555;0.9166666666666666;0.027777777777777776;0.0851063829787234;0.9166666666666666;1.0;2;1.0
316060;2;0.0;1.0;0.0;0.0;0.5;1.0;1;1.0
1238664;2;0.0;1.0;0.0;0.0;0.5;1.0;1;0.0
90780;408;0.14705882352941177;0.8455882352941176;0.007352941176470588;0.35106382978723405;0.9656862745098039;0.9950980392156863;9;0.0
22685;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
134812;5;0.4;0.6;0.0;0.0;0.6;1.0;2;0.0
46239;7;0.0;1.0;0.0;0.0;1.0;0.8571428571428572;2;0.0
25762;173;0.0;1.0;0.0;0.0;0.9364161849710982;1.0;3;1.4155568840327335E-4
709289;56;0.42857142857142855;0.17857142857142858;0.39285714285714285;0.06382978723404255;1.0;1.0;2;0.22936978639215902
625824;160;0.76875;0.08125;0.15;0.1276595744680851;0.9875;1.0;4;0.0
37548;173;0.0;0.028901734104046242;0.9710982658959537;0.0;0.9942196531791907;1.0;4;0.0
1809077;62;0.967741935483871;0.03225806451612903;0.0;0.07446808510638298;0.935483870967742;0.9838709677419355;2;0.0
372917;52;0.11538461538461539;0.6538461538461539;0.23076923076923078;0.19148936170212766;0.8076923076923077;0.9807692307692307;5;1.0
