"source";"target";"weight"
"67572";"90780";"214.0"
"61223";"67572";"33.0"
"61223";"90780";"6.0"
"497870";"66675";"3.0"
"497870";"67572";"1.0"
"497870";"90780";"7.0"
"424690";"67572";"4.0"
"424690";"90780";"33.0"
"420883";"67572";"4.0"
"1198089";"66675";"308.0"
"1198089";"67572";"17.0"
"1198089";"90780";"13.0"
"341930";"67572";"14.0"
"66675";"211154";"23.0"
"183561";"75410";"60.0"
"413220";"75410";"16.0"
"75410";"183561";"28.0"
"179778";"337375";"168.0"
"201149";"337375";"168.0"
"23891";"10091";"4.0"
"183561";"5657";"1.0"
"183561";"10091";"1.0"
"5657";"150478";"2.0"
"5657";"67572";"7.0"
"5657";"10091";"2.0"
"66675";"10091";"5.0"
"5996654";"66675";"188.0"
"5996654";"67572";"5.0"
"5996654";"10091";"2.0"
"120153";"66675";"5.0"
"5996654";"120153";"1.0"
"61223";"179778";"36.0"
"66675";"143308";"111.0"
"110263";"143308";"5.0"
"110263";"66675";"11.0"
"91490";"143308";"5.0"
"91490";"66675";"11.0"
"61223";"12022";"6.0"
"12022";"66675";"4.0"
"12022";"61223";"15.0"
"12022";"75410";"3.0"
"66675";"214436";"76.0"
"66675";"12022";"7.0"
"214436";"61223";"5.0"
"214436";"75410";"1.0"
"214436";"12022";"2.0"
"2516858";"179778";"5.0"
"2516858";"23891";"6.0"
"2516858";"67572";"3.0"
"685878";"66675";"26.0"
"1198089";"685878";"3.0"
"594009";"685878";"2.0"
"594009";"66675";"89.0"
"2516858";"337375";"13.0"
"1198089";"179778";"19.0"
"337375";"66675";"22.0"
"207829";"424690";"2.0"
"179778";"90780";"14.0"
"214436";"66675";"33.0"
"163973";"66675";"12.0"
"413220";"50179";"2.0"
"413220";"424690";"3.0"
"413220";"90780";"1.0"
"50179";"424690";"3.0"
"50179";"90780";"9.0"
"214436";"183561";"11.0"
"214436";"424690";"3.0"
"214436";"90780";"3.0"
"179778";"50179";"69.0"
