uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_aubervilliers_bbox
70145,23,0.6086956521739131,0.391304347826087,0.0,0.09574468085106383,0.8695652173913043,1.0,1,1.0,-4.56703405,48.5490217,-4.5528395,48.55412245,1251385.0048801503,1.2221273019394621E8
0,3,0.0,0.3333333333333333,0.6666666666666666,0.031914893617021274,0.6666666666666667,1.0,2,0.0,-4.5609901,48.4997384,-4.15926865,48.619940150000005,1.1658931714634194E9,1.2221273019394621E8
437764,2,0.0,1.0,0.0,0.010638297872340425,0.5,1.0,1,0.0,-4.7927385,47.9827593,-3.9582746,48.6845029,3.677736200145637E9,1.2221273019394621E8
50179,64,0.0,0.046875,0.953125,0.0425531914893617,0.984375,0.984375,2,0.0,-4.46778,48.5441241,-4.429203,48.5594936,8131912.425336783,1.2221273019394621E8
2814510,16,0.625,0.375,0.0,0.02127659574468085,0.875,1.0,1,0.0,-4.5922129,48.584774700000004,-4.565032633333334,48.59447873333334,4630903.579456915,1.2221273019394621E8
246277,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,-4.5340988,48.5691446,-4.5338246,48.5693275,34.34362173445813,1.2221273019394621E8
196617,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,-4.5340988,48.5691446,-4.5338246,48.5693275,34.34362173445813,1.2221273019394621E8
306191,1,0.0,0.0,1.0,0.0,1.0,1.0,1,0.0,-5.4737192,41.8163902,10.3393007,51.3085767,5.609566097590218E10,1.2221273019394621E8
1845264,4258,0.712775951150775,0.2766557069046501,0.010568341944574918,0.6914893617021277,0.9929544387036168,0.9981211836542978,12,0.0,-4.541404,48.5361808,-4.3123754,48.6062698,3.7383953041120535E8,1.2221273019394621E8
85516,4,0.0,1.0,0.0,0.0,0.25,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.2221273019394621E8
297482,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666667,1.0,2,0.0,-75.17932915,-23.576061250000002,94.0423461,61.56187595,5.835261393804628E14,1.2221273019394621E8
22031,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-3.9398112,48.3681555,-3.6274363,48.7491628,1.7093207094581552E9,1.2221273019394621E8
438807,18,0.9444444444444444,0.05555555555555555,0.0,0.0,0.9444444444444444,0.9444444444444444,4,0.0,-4.477343175,48.57995675,-4.4645586999999995,48.586129025,619778.1400434941,1.2221273019394621E8
355857,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,-4.534982,48.5534246,-4.534982,48.5534246,0.0,1.2221273019394621E8
420883,229,0.1703056768558952,0.14847161572052403,0.6812227074235808,0.18085106382978725,0.9432314410480349,0.9956331877729258,12,0.0,-4.914920094117647,38.650450505882354,13.457516476470587,49.84920019411764,2.5404545960540433E11,1.2221273019394621E8
216598,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-4.6129492,48.5776499,-4.5223756,48.6107317,5.0189417233722925E7,1.2221273019394621E8
1972747,29,0.8620689655172413,0.13793103448275862,0.0,0.031914893617021274,0.9310344827586207,1.0,2,1.0,-4.5212416,48.568639,-4.5209238,48.5688987,453.54914871288685,1.2221273019394621E8
449555,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,-4.6632141,48.3704745,-3.6741555,48.6126647,7.864668692856628E9,1.2221273019394621E8
5657,672,0.9970238095238095,0.002976190476190476,0.0,0.0,0.9821428571428571,0.9910714285714286,3,0.0,-4.834824266666668,43.90491583333334,4.974067233333334,50.26487126666667,6.083548098098866E10,1.2221273019394621E8
1198089,210,0.0,0.5190476190476191,0.48095238095238096,0.06382978723404255,1.0,1.0,2,0.0,-5.220183,47.3883317,-2.9488499,48.8395768,1.561448663895981E8,1.2221273019394621E8
42011,6,0.16666666666666666,0.5,0.3333333333333333,0.010638297872340425,0.33333333333333337,1.0,2,0.0,-4.6118162,48.4402464,-4.1191627,48.6587559,1.1091818353822365E9,1.2221273019394621E8
79386,13,0.0,0.9230769230769231,0.07692307692307693,0.0,0.7692307692307692,1.0,5,0.0,-8.041844466666667,10.106966983333335,33.58101305,55.5466974,2.44290732635637E13,1.2221273019394621E8
