uid;total_contributions;p_creation;p_modification;p_delete;p_is_used;p_is_edited;p_is_deleted;nbWeeks;focalisation
591881;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
1579545;5;0.2;0.8;0.0;0.031413612565445025;0.6;0.6;1;1.0
150019;5;0.4;0.6;0.0;0.0;0.8;1.0;1;0.14385700889129358
13832;49;0.0;0.40816326530612246;0.5918367346938775;0.03664921465968586;0.8979591836734694;1.0;5;1.0
1224218;297;0.8383838383838383;0.12457912457912458;0.037037037037037035;0.02617801047120419;0.9797979797979798;0.9865319865319865;5;1.0
178186;16;0.0;1.0;0.0;0.0;0.9375;1.0;1;1.0
196617;21;0.14285714285714285;0.8571428571428571;0.0;0.015706806282722512;1.0;1.0;1;1.0
585220;6;0.6666666666666666;0.3333333333333333;0.0;0.0;0.6666666666666667;1.0;2;0.5751121692636588
297482;7;0.0;1.0;0.0;0.005235602094240838;0.7142857142857143;0.8571428571428572;1;0.0
128017;323;0.6625386996904025;0.17956656346749225;0.15789473684210525;0.06282722513089005;0.9504643962848297;0.9845201238390093;16;9.735765748179355E-4
257555;35;0.34285714285714286;0.6571428571428571;0.0;0.03664921465968586;0.9142857142857143;0.9714285714285714;1;1.0
345109;1;0.0;0.0;1.0;0.0;1.0;1.0;1;0.0
268309;2;0.0;0.5;0.5;0.020942408376963352;1.0;1.0;1;1.0
2380336;74;0.0;1.0;0.0;0.0;0.9459459459459459;0.972972972972973;2;0.09368812846626522
29717;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
322076;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.008188267774809212
52248;1;0.0;1.0;0.0;0.0;0.0;1.0;1;2.043285502888407E-4
34843;2;0.0;1.0;0.0;0.0;0.5;1.0;2;0.0
8732;2;0.0;1.0;0.0;0.0;0.5;1.0;1;3.9800396799839186E-4
280090;555;0.6612612612612613;0.3117117117117117;0.02702702702702703;0.1099476439790576;0.9765765765765766;0.9873873873873874;5;1.0
479256;2473;0.8305701577031945;0.010917913465426607;0.15851192883137888;0.1256544502617801;0.9959563283461383;0.9995956328346138;7;0.17201954960863333
1377802;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
2415107;185;0.44324324324324327;0.5027027027027027;0.05405405405405406;0.1256544502617801;0.9783783783783784;0.9945945945945946;3;1.0
506415;16;1.0;0.0;0.0;0.005235602094240838;0.9375;1.0;1;1.0
70696;34;0.0;0.9411764705882353;0.058823529411764705;0.010471204188481676;0.7647058823529411;0.8529411764705882;14;0.0
72235;47;0.3404255319148936;0.6170212765957447;0.0425531914893617;0.0;0.8297872340425532;0.9361702127659575;7;0.02862323235228936
43562;1;1.0;0.0;0.0;0.0;1.0;1.0;1;1.0
