uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_heilsbronn_bbox
40397,8,0.625,0.375,0.0,0.0,0.75,0.875,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
4102122,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,10.7841426,49.3740379,10.7845204,49.3741944,766.332899754343,3.177037399720338E8
36821,3,1.0,0.0,0.0,0.005235602094240838,0.6666666666666667,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
554973,2,0.0,1.0,0.0,0.015706806282722512,1.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
77783,156,0.16025641025641027,0.7051282051282052,0.1346153846153846,0.031413612565445025,0.9743589743589743,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
49111,2953,0.005756857433118863,0.9942431425668812,0.0,0.1518324607329843,0.9905181171689807,0.9966136132746359,2,0.8581719314885748,10.8429211,49.3628995,10.877904,49.3941107,2.026129416484722E7,3.177037399720338E8
41431,21,0.23809523809523808,0.47619047619047616,0.2857142857142857,0.04712041884816754,0.7142857142857143,0.9523809523809523,3,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
48087,24,0.5,0.5,0.0,0.015706806282722512,0.7083333333333333,0.9583333333333334,3,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
9176,6,0.0,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666667,1.0,3,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
25049,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
51167,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
391652,10394,0.6969405426207428,0.23446218972484126,0.06859726765441601,0.450261780104712,0.9952857417741005,0.9981720223205696,75,1.0,10.789839530952381,49.35952474761904,10.847858638095241,49.39339767619049,3.0874524883886147E7,3.177037399720338E8
17889,9,0.0,1.0,0.0,0.020942408376963352,1.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
1486839,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,6.8888461,39.6770414,24.701541,53.1014372,3.2774555203588955E12,3.177037399720338E8
1480181,2,0.5,0.5,0.0,0.0,0.5,0.5,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
123364,16,0.0,1.0,0.0,0.0,0.875,1.0,2,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
45542,1,0.0,0.0,1.0,0.0,1.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
222693,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
18407,5,0.0,0.8,0.2,0.03664921465968586,0.6,1.0,2,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
38376,202,0.7128712871287128,0.26732673267326734,0.019801980198019802,0.07853403141361257,0.9356435643564356,0.9752475247524752,4,1.0,10.7867516,49.3348616,10.8204389,49.3914589,4.331160805014715E7,3.177037399720338E8
140776,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.7642835293220065,10.7882797,49.2860531,10.8485015,49.3511664,7.750074528133784E7,3.177037399720338E8
12783,10,0.0,1.0,0.0,0.0,0.6,1.0,2,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
129518,1,0.0,1.0,0.0,0.005235602094240838,0.0,1.0,1,1.0,NaN,NaN,NaN,NaN,0.0,3.177037399720338E8
