"source";"target";"weight"
"33634";"23960";"11.0"
"37548";"33634";"15.0"
"1016290";"130277";"8.0"
"1227542";"2337040";"2.0"
"2337040";"1016290";"6.0"
"130277";"213292";"1.0"
"213292";"130277";"2.0"
"4507136";"130277";"26.0"
"130277";"13442";"37.0"
"57126";"218616";"2.0"
"218616";"98316";"2.0"
"130277";"90780";"2.0"
"90780";"130277";"4.0"
"2126146";"290680";"1.0"
"290680";"130277";"5.0"
"158826";"623567";"4.0"
"1544322";"432618";"1.0"
"130277";"2709404";"8.0"
"5850916";"2709404";"6.0"
"24042";"23960";"6.0"
"1712229";"1413693";"11.0"
"1413693";"130277";"11.0"
"1443767";"1429581";"1.0"
"1429581";"4914208";"1.0"
"300459";"870861";"9.0"
"1712229";"130277";"9.0"
"2126146";"1712229";"2.0"
"1413693";"1544322";"3.0"
"1016290";"365279";"1.0"
"158826";"7412336";"1.0"
"7412336";"979056";"1.0"
"979056";"130277";"1.0"
"83557";"2317112";"1.0"
"2317112";"704348";"1.0"
"704348";"138059";"1.0"
"138059";"158826";"1.0"
"158826";"83557";"10.0"
"83557";"125299";"10.0"
"125299";"130277";"23.0"
"83557";"98316";"5.0"
"22165";"362997";"1.0"
"362997";"125897";"1.0"
"125897";"53964";"4.0"
"53964";"165061";"1.0"
"461103";"9176";"1.0"
"9176";"130277";"1.0"
"130277";"42429";"3.0"
"130277";"123364";"1.0"
"123364";"130277";"7.0"
"49047";"125299";"8.0"
"870861";"42123";"1.0"
"675449";"158826";"17.0"
"2126146";"158826";"7.0"
"4773843";"158826";"3.0"
"130277";"464135";"39.0"
"996303";"300459";"6.0"
"2126146";"218616";"8.0"
"1424448";"432618";"21.0"
"130277";"275821";"3.0"
"709289";"300459";"105.0"
"83557";"4363";"2.0"
"98316";"224440";"3.0"
"224440";"130277";"6.0"
"578397";"37548";"9.0"
"709289";"83557";"219.0"
"130277";"158826";"4.0"
"158826";"1704554";"13.0"
"1704554";"130277";"51.0"
"2709404";"130277";"14.0"
"1712229";"1544322";"7.0"
"98316";"158826";"1.0"
"125299";"300459";"3.0"
"185836";"593214";"1.0"
"593214";"24904";"1.0"
"130277";"81170";"7.0"
"4763179";"609636";"1.0"
"609636";"2749888";"1.0"
"2749888";"664670";"1.0"
"664670";"420883";"1.0"
"33634";"42123";"5.0"
"42123";"24042";"2.0"
"24042";"1679";"6.0"
"1679";"2488";"9.0"
"870861";"33634";"1.0"
"33634";"24042";"6.0"
"300459";"33634";"4.0"
"664670";"300459";"1.0"
"300459";"275821";"26.0"
"275821";"83557";"25.0"
"1425311";"300459";"41.0"
"49047";"300459";"4.0"
"224440";"4507136";"1.0"
"4507136";"300459";"5.0"
"4532767";"300459";"1.0"
"3197428";"578397";"1.0"
"300459";"125299";"6.0"
"125299";"83557";"59.0"
"4532781";"300459";"3.0"
"22165";"2097920";"1.0"
"2097920";"118014";"1.0"
"118014";"4363";"1.0"
"4363";"352940";"1.0"
"352940";"125299";"1.0"
"125299";"3085";"1.0"
"3085";"81170";"1.0"
"81170";"1679";"1.0"
"10927";"6217";"1.0"
"1956154";"300459";"8.0"
"130277";"300459";"30.0"
"130277";"125299";"19.0"
"1717441";"83557";"40.0"
"172867";"300459";"2.0"
"172867";"4532781";"1.0"
"4532781";"709289";"2.0"
"88302";"83557";"39.0"
"23960";"83557";"57.0"
"275821";"125299";"2.0"
"1429581";"3220376";"3.0"
"3220376";"300459";"4.0"
"158826";"300459";"13.0"
"432618";"107257";"11.0"
"125897";"1942788";"5.0"
"2097920";"130277";"1.0"
"300459";"179778";"1.0"
"179778";"83557";"1.0"
"24904";"300459";"7.0"
"4023601";"362997";"1.0"
"362997";"52634";"2.0"
"52634";"125897";"2.0"
"4023601";"50624";"7.0"
"50624";"362997";"1.0"
"2126146";"57126";"3.0"
"2179792";"1429581";"1.0"
"1429581";"2179792";"1.0"
"2179792";"1413693";"1.0"
"1413693";"300459";"1.0"
"675449";"616774";"1.0"
"616774";"4532779";"1.0"
"4532779";"300459";"1.0"
"4532777";"1772032";"1.0"
"1772032";"1425311";"1.0"
"1425311";"860575";"1.0"
"860575";"1425311";"1.0"
"224440";"1429581";"1.0"
"1429581";"1907096";"2.0"
"1907096";"300459";"2.0"
"130277";"2170681";"1.0"
"125299";"98316";"5.0"
"125897";"1238664";"1.0"
"1238664";"300459";"1.0"
"4532783";"1429581";"1.0"
"130277";"131968";"3.0"
"131968";"98316";"2.0"
"98316";"125299";"1.0"
"125299";"23960";"1.0"
"88302";"33634";"1.0"
"4532783";"300459";"1.0"
"1772032";"300459";"1.0"
"1772032";"1198089";"2.0"
"1198089";"300459";"3.0"
"107257";"155015";"1.0"
"155015";"300459";"1.0"
"1795336";"1704554";"5.0"
"214436";"79386";"1.0"
"79386";"24904";"1.0"
"300459";"50414";"29.0"
"24904";"88302";"7.0"
"4051292";"300459";"1.0"
"13442";"24904";"6.0"
"383495";"130277";"2.0"
"33634";"83557";"10.0"
"4363";"464135";"4.0"
"464135";"33634";"1.0"
"33634";"98316";"10.0"
"1228520";"300459";"1.0"
"578397";"1425311";"28.0"
"83557";"300459";"2.0"
"300459";"375079";"2.0"
"375079";"83557";"7.0"
"26687";"83557";"1.0"
"675449";"870861";"1.0"
"2126146";"709289";"7.0"
"4507136";"24904";"3.0"
"2126146";"675449";"5.0"
"300459";"464135";"3.0"
"464135";"158826";"9.0"
"158826";"428321";"1.0"
"428321";"158826";"1.0"
"158826";"15908";"1.0"
"57126";"1429581";"1.0"
"1429581";"1238664";"1.0"
"24904";"2488";"10.0"
"1544322";"300459";"3.0"
"33634";"24904";"6.0"
"33634";"2488";"20.0"
"98821";"130277";"1.0"
"42123";"10927";"1.0"
"130277";"2488";"23.0"
"375079";"275821";"1.0"
"275821";"50414";"2.0"
"1544322";"83557";"7.0"
"3942402";"125299";"4.0"
"118021";"1425311";"1.0"
"1425311";"578397";"4.0"
"1544322";"98316";"18.0"
"3667060";"3942402";"1.0"
"2126146";"1668080";"2.0"
"1668080";"578397";"1.0"
"2126146";"1704554";"6.0"
"432618";"23960";"21.0"
"22165";"50624";"2.0"
"50624";"53964";"1.0"
"53964";"1256648";"2.0"
"1256648";"123364";"6.0"
"130277";"70696";"1.0"
"70696";"130277";"1.0"
"24904";"623567";"2.0"
"623567";"130277";"2.0"
"41873";"12295";"1.0"
"1075986";"83557";"5.0"
"1198089";"83557";"15.0"
"432618";"88302";"8.0"
"2317112";"125299";"2.0"
"50624";"1256648";"1.0"
"464135";"130277";"26.0"
"208829";"130277";"14.0"
"1425311";"83557";"12.0"
"5850916";"130277";"23.0"
"50624";"52634";"2.0"
"2126146";"4773843";"1.0"
"4023601";"445671";"30.0"
"445671";"51045";"12.0"
"1198089";"1544322";"1.0"
"1795336";"158826";"2.0"
"125897";"218616";"3.0"
"218616";"158826";"1.0"
"52634";"141978";"5.0"
"141978";"4363";"5.0"
"22165";"400383";"3.0"
"400383";"52634";"3.0"
"52634";"1256648";"2.0"
"76321";"49047";"1.0"
"49047";"50414";"2.0"
"4532781";"83557";"4.0"
"420883";"298838";"1.0"
"298838";"130277";"1.0"
"83557";"3085";"8.0"
"3085";"54945";"1.0"
"709289";"50414";"9.0"
"375079";"85516";"1.0"
"85516";"3085";"1.0"
"439947";"158826";"5.0"
"4773843";"125897";"9.0"
"125897";"181135";"1.0"
"181135";"1956154";"1.0"
"1956154";"158826";"1.0"
"158826";"181135";"1.0"
"181135";"383495";"1.0"
"383495";"578397";"1.0"
"578397";"4363";"1.0"
"4363";"33634";"1.0"
"33634";"130277";"55.0"
"24904";"4363";"4.0"
"125897";"158826";"2.0"
"439947";"130277";"9.0"
"130277";"1198089";"1.0"
"1345538";"83557";"1.0"
"1345538";"90780";"1.0"
"90780";"1704554";"2.0"
"1443767";"90780";"10.0"
"213292";"83557";"5.0"
"300544";"130277";"5.0"
"208829";"675449";"6.0"
"675449";"1956154";"1.0"
"1956154";"1425311";"3.0"
"464135";"83557";"9.0"
"138059";"125299";"2.0"
"2317112";"83557";"1.0"
"125299";"42123";"2.0"
"42123";"130277";"8.0"
"83557";"2488";"1.0"
"1712229";"158826";"3.0"
"130277";"41873";"6.0"
"41873";"1679";"2.0"
"4763179";"870861";"2.0"
"300459";"420883";"7.0"
"420883";"42123";"2.0"
"130277";"19237";"10.0"
"85516";"88302";"2.0"
"88302";"24904";"21.0"
"24904";"24042";"3.0"
"12295";"2488";"1.0"
"420883";"300459";"4.0"
"130277";"42123";"4.0"
"85516";"1679";"2.0"
"1704554";"1443767";"1.0"
"1443767";"675449";"3.0"
"675449";"90780";"4.0"
"90780";"158826";"8.0"
"1704554";"145231";"1.0"
"145231";"90780";"4.0"
"90780";"49047";"4.0"
"90780";"145231";"3.0"
"49047";"13442";"5.0"
"675449";"83557";"11.0"
"1016290";"300459";"4.0"
"300459";"1704554";"1.0"
"130277";"365279";"1.0"
"365279";"420883";"2.0"
"420883";"37548";"2.0"
"37548";"201149";"4.0"
