uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_aubervilliers_bbox
7412336,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,2.4405216,48.8989803,2.4776587,48.9065478,1.0174521082843637E7,9895882.805806391
383495,54,0.7592592592592593,0.24074074074074073,0.0,0.09316770186335403,0.9259259259259259,1.0,1,0.0,2.4870642500000004,48.89167825,2.51741145,48.918155549999994,4597487.851614305,9895882.805806391
2406950,4,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,2.4865947,48.91975865,2.49204955,48.9249961,215436.26804266399,9895882.805806391
300544,15,0.26666666666666666,0.3333333333333333,0.4,0.006211180124223602,0.9333333333333333,1.0,1,1.0,2.468275,48.8931306,2.4702257,48.8935398,27780.717393241346,9895882.805806391
98821,7,0.0,1.0,0.0,0.06832298136645963,0.8571428571428572,1.0,1,0.0,-2.0803879333333333,42.07388003333333,8.302687133333334,51.577084299999996,7.473509654885564E11,9895882.805806391
75781,7,0.0,1.0,0.0,0.0,0.8571428571428572,1.0,1,0.0071430107043912,2.3845652,48.6400798,2.6156042,48.9961927,1.385393808765098E9,9895882.805806391
12295,7,0.14285714285714285,0.8571428571428571,0.0,0.0,0.8571428571428572,0.8571428571428572,1,0.0,-3.6707208,40.484354,16.3723408,48.94197,1.1464764435910256E12,9895882.805806391
306191,4,0.0,0.0,1.0,0.06832298136645963,1.0,1.0,2,0.0,-5.566228925000001,41.7199422,9.87389265,50.950338775,4.611753858209864E10,9895882.805806391
98316,568,0.31338028169014087,0.4753521126760563,0.2112676056338028,0.2732919254658385,0.9507042253521126,0.9735915492957746,29,0.0,2.1516207974999997,48.82915935,2.5563353725,48.969563387499974,8.942239792252692E8,9895882.805806391
3085,60,0.0,0.7166666666666667,0.2833333333333333,0.18012422360248448,0.8166666666666667,0.9833333333333333,3,0.010113672569845567,2.4113032666666667,48.881752266666666,3.094276366666667,49.2567631,9.784658082872361E8,9895882.805806391
85516,30,0.0,1.0,0.0,0.0,0.8,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,9895882.805806391
1955342,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,2.4232612,48.8426815,2.5832481,48.945278,6243438.758342467,9895882.805806391
420883,41,0.024390243902439025,0.975609756097561,0.0,0.012422360248447204,0.7560975609756098,0.975609756097561,9,0.0,-0.8113908166666667,44.95422341666667,5.606589566666666,49.99892351666666,1.4519475945526712E11,9895882.805806391
449555,11,1.0,0.0,0.0,0.0,1.0,1.0,1,0.0,2.497477,48.8922944,2.5020747,48.8934383,143824.94218562683,9895882.805806391
29717,10,0.0,1.0,0.0,0.006211180124223602,0.9,0.9,1,0.0,0.4371761,45.963927,23.1500686,49.3508253,3.370638060300428E12,9895882.805806391
470034,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,-130.9516289,31.2997423,157.7931099,62.3551146,0.0,9895882.805806391
1345538,27,0.2222222222222222,0.6296296296296297,0.14814814814814814,0.031055900621118012,0.9259259259259259,0.962962962962963,3,0.0,2.470105933333333,48.90648406666667,2.4898903333333333,48.917706466666665,670715.8024113463,9895882.805806391
1198089,151,0.24503311258278146,0.5364238410596026,0.2185430463576159,0.08695652173913043,0.9205298013245033,0.9933774834437086,15,0.0,0.13258501764705882,43.05154152352941,7.772505323529411,49.932825170588245,3.8166142311688794E11,9895882.805806391
1772032,136,0.0,0.9852941176470589,0.014705882352941176,0.024844720496894408,0.9779411764705882,0.9852941176470589,6,0.0,1.8984195,48.47383574999999,3.0218521,49.1382893125,1.526774952502846E9,9895882.805806391
79386,2,0.0,1.0,0.0,0.0,0.5,1.0,2,0.0,-3.2331393,42.4635588,8.7792663,50.9164258,2.787814214307474E11,9895882.805806391
76321,118,0.6949152542372882,0.288135593220339,0.01694915254237288,0.037267080745341616,0.9576271186440678,0.9915254237288136,4,0.0,2.4781612500000003,48.90825557,2.4811444199999997,48.90940368,43332.77101009547,9895882.805806391
86051,5,0.0,1.0,0.0,0.031055900621118012,0.4,1.0,1,0.0,2.3702679,48.8783755,2.4705341,48.9053743,6.5810831240033805E7,9895882.805806391
15908,63,0.8571428571428571,0.12698412698412698,0.015873015873015872,0.006211180124223602,0.9365079365079365,1.0,4,0.03873153855268261,2.3119095714285716,48.79488691428571,2.5670567714285712,48.91950814285714,2.0448278550061086E8,9895882.805806391
1413693,85,0.6941176470588235,0.29411764705882354,0.011764705882352941,0.006211180124223602,0.9647058823529412,0.9882352941176471,4,0.0,2.485031483333333,48.89406366666666,2.5572885833333334,48.922491449999995,2.4699045981654566E7,9895882.805806391
70696,3,0.0,1.0,0.0,0.0,0.33333333333333337,0.6666666666666667,3,0.0,-94.6185088,-43.4841556,163.0103068,64.3503943,0.0,9895882.805806391
12842,6,1.0,0.0,0.0,0.0,0.5,1.0,1,0.008089920376756439,2.2681042,48.8735284,2.6935675,48.9812432,1.223236119138917E9,9895882.805806391
147510,6,0.0,1.0,0.0,0.0,0.6666666666666667,1.0,1,0.0,-64.0569998,-25.8340459,63.3853614,59.3969892,4.2432320924762825E14,9895882.805806391
2268702,3,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.0,1,0.0,2.4762949,48.9187393,2.4771574,48.918905,5592.09637744708,9895882.805806391
3942402,5,0.0,1.0,0.0,0.0,0.6,1.0,1,0.0,2.5125959499999997,48.922160075,2.529407525,48.929395575,1170602.973598756,9895882.805806391
