"source";"target";"weight"
"432618";"83557";"2.0"
"23960";"50414";"1.0"
"432618";"23960";"5.0"
"378036";"50414";"5.0"
"378036";"13442";"1.0"
"709289";"50414";"1.0"
"709289";"378036";"2.0"
"709289";"76002";"2.0"
"90780";"158826";"1.0"
"76321";"300459";"2.0"
"130277";"300459";"2.0"
"107257";"49869";"1.0"
"37548";"50414";"6.0"
"98316";"13442";"1.0"
"83557";"149399";"44.0"
"709289";"149399";"7.0"
"578397";"50414";"4.0"
"81024";"13442";"1.0"
"125299";"131968";"1.0"
"1544322";"300459";"1.0"
"185976";"83557";"7.0"
"1425311";"50414";"1.0"
"83557";"49869";"3.0"
"37548";"432618";"2.0"
"2709404";"432618";"1.0"
"130277";"49869";"8.0"
"3085";"49869";"3.0"
"3220376";"130277";"2.0"
"275821";"49869";"1.0"
"24904";"49869";"6.0"
"130277";"378036";"5.0"
"709289";"76321";"2.0"
"709289";"88302";"1.0"
"49047";"300459";"1.0"
"709289";"49869";"1.0"
"185976";"130277";"4.0"
"118021";"130277";"1.0"
"116044";"34130";"1.0"
"1425311";"130277";"1.0"
"12022";"83557";"2.0"
"130277";"35598";"1.0"
"4773843";"130277";"2.0"
"870861";"578397";"5.0"
"211154";"578397";"1.0"
"130277";"225036";"1.0"
"90780";"578397";"1.0"
"33634";"88302";"2.0"
"33634";"24042";"1.0"
"33634";"98316";"1.0"
"870861";"130277";"1.0"
"37548";"24904";"1.0"
"224440";"29717";"2.0"
"628995";"98316";"1.0"
"432618";"12022";"2.0"
"1704554";"432618";"1.0"
"1712229";"1413693";"1.0"
"83557";"33634";"13.0"
"2126146";"675449";"1.0"
"709289";"432618";"1.0"
"24904";"81024";"1.0"
"578397";"81024";"1.0"
"306191";"83557";"1.0"
"275821";"98316";"1.0"
"675449";"290680";"1.0"
"1413693";"130277";"1.0"
"1345538";"130277";"2.0"
"300459";"125299";"1.0"
"2126146";"3220376";"1.0"
"3220376";"158826";"1.0"
"90780";"300459";"1.0"
