"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"275763";"thobre";"7";"6";"1";"6";"1";"7";"0";"0";"null";"null";"0.8571428571428571";"0.14285714285714285";"0.8571428571428571";"0.14285714285714285";"1.0";"0.0";"0.0";"2"
"27194";"ABausD";"379";"132";"247";"180";"199";"306";"73";"19";"null";"null";"0.3482849604221636";"0.6517150395778364";"0.47493403693931396";"0.525065963060686";"0.8073878627968337";"0.19261213720316622";"0.05013192612137203";"14"
"39482";"MikaOL";"11";"0";"11";"10";"1";"11";"0";"0";"null";"null";"0.0";"1.0";"0.9090909090909091";"0.09090909090909091";"1.0";"0.0";"0.0";"1"
"95293";"Nightdive";"15";"0";"15";"14";"1";"1";"14";"13";"null";"null";"0.0";"1.0";"0.9333333333333333";"0.06666666666666667";"0.06666666666666667";"0.9333333333333333";"0.8666666666666667";"3"
"710985";"N9713";"4";"0";"4";"3";"1";"2";"2";"0";"null";"null";"0.0";"1.0";"0.75";"0.25";"0.5";"0.5";"0.0";"1"
"240960";"de-iure";"46";"27";"19";"44";"2";"35";"11";"0";"null";"null";"0.5869565217391305";"0.41304347826086957";"0.9565217391304348";"0.043478260869565216";"0.7608695652173914";"0.2391304347826087";"0.0";"9"
"774984";"cbombadil";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"96069";"theophrastos";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"58950";"mfi";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"526656";"vdvox";"13";"0";"13";"12";"1";"0";"13";"0";"null";"null";"0.0";"1.0";"0.9230769230769231";"0.07692307692307693";"0.0";"1.0";"0.0";"1"
"62281";"buggyhexe123";"30";"0";"30";"24";"6";"15";"15";"0";"null";"null";"0.0";"1.0";"0.8";"0.2";"0.5";"0.5";"0.0";"22"
