"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"4181669";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2870933";"4.0";"4.0";"0.0";"4.0";"3.0";"0.0";"0.0";"0.8711111111111112";"0.40476190476190477";"0.25952380952380955"
"2277026";"2.0";"3.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.8385416666666667";"0.6333333333333333";"0.5043478260869565"
"3231383";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2862758";"6.0";"6.0";"0.0";"6.0";"3.0";"0.0";"0.0";"0.8571428571428571";"0.13541666666666666";"0.10246913580246914"
"355978";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"360085";"2.0";"3.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.8385416666666667";"0.36666666666666664";"0.20869565217391303"
"2866814";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"2399858";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"4955858";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3255945";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2866806";"3.0";"3.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.84";"0.3888888888888889";"0.2"
"4976341";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875017";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2264708";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"2891402";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4361959";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"4529895";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"5054178";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2883204";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"24237";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"4488819";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3456742";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4841084";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4873851";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3911404";"3.0";"3.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.7777777777777779";"0.16666666666666666";"0.08888888888888889"
"4488818";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4488827";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4836977";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3878627";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"3911389";"1.0";"2.0";"0.0";"16.0";"3.0";"20.0";"0.0";"0.7235449735449736";"0.04511677282377919";"0.09177330895795247"
"2879211";"4.0";"4.0";"0.0";"7.0";"2.0";"0.0";"0.0";"0.823529411764706";"0.3137254901960784";"0.22745098039215686"
"2875104";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2477805";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4931203";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"1380064";"4.0";"4.0";"0.0";"11.0";"3.0";"0.0";"0.0";"0.7761707988980717";"0.1738095238095238";"0.17391304347826086"
"1863396";"6.0";"7.0";"0.0";"7.0";"4.0";"0.0";"0.0";"0.8628472222222222";"0.14285714285714285";"0.10985915492957747"
"2883249";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"2866863";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.0";"0.0"
"2883247";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"4849300";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875062";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"2907852";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"5025453";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"5037738";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2248393";"3.0";"5.0";"0.0";"2.0";"3.0";"24.0";"0.0";"0.6357438519600681";"0.027303754266211604";"0.08900804289544235"
"2899652";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2866885";"1.0";"3.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.7777777777777779";"0.14814814814814814";"0.11851851851851852"
"4009767";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"421615";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"3497771";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"1961726";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"5050190";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4136725";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4980550";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2883365";"2.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7777777777777779";"0.7777777777777778";"0.5"
"4497225";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2903795";"1.0";"2.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.8425925925925927";"0.4166666666666667";"0.2"
"2883312";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"1371944";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2879219";"7.0";"8.0";"1.0";"11.0";"4.0";"3.0";"0.0";"0.9042675893886967";"0.13126843657817108";"0.115625"
"4554595";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4976489";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"5001068";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3415798";"5.0";"5.0";"1.0";"17.0";"10.0";"113.0";"0.0";"0.49079718725786875";"0.05575126359319957";"0.06075896580483736"
"3591919";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2866950";"0.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.4375";"0.0";"0.0"
"2326351";"3.0";"4.0";"0.0";"3.0";"3.0";"0.0";"0.0";"0.8698224852071007";"0.3333333333333333";"0.2634920634920635"
"2875228";"1.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7466666666666666";"0.25";"0.1"
"4300533";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875219";"2.0";"5.0";"0.0";"7.0";"1.0";"0.0";"0.0";"0.7570370370370371";"0.23958333333333334";"0.23835616438356164"
"2326369";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"2858862";"0.0";"0.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.3733333333333332";"0.2222222222222222";"0.15"
"2875233";"2.0";"2.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.761904761904762";"0.0";"0.0"
"2871136";"5.0";"6.0";"0.0";"9.0";"3.0";"0.0";"0.0";"0.833648393194707";"0.12760416666666666";"0.08888888888888889"
