"source";"target";"weight";"type"
"172172";"2787436";"4.0";"undirected"
"172172";"690244";"1.0";"undirected"
"172172";"2103363";"4.0";"undirected"
"172172";"2881599";"4.0";"undirected"
"172172";"178297";"1.0";"undirected"
"172172";"2582702";"4.0";"undirected"
"172172";"2926755";"4.0";"undirected"
"172172";"2328744";"1.0";"undirected"
"172172";"2631846";"1.0";"undirected"
"172172";"1239277";"1.0";"undirected"
"172172";"2877636";"4.0";"undirected"
"172172";"129268";"2.0";"undirected"
"172172";"2246937";"1.0";"undirected"
"172172";"2861330";"5.0";"undirected"
"172172";"2877698";"1.0";"undirected"
"172172";"497960";"1.0";"undirected"
"172172";"1947975";"4.0";"undirected"
"172172";"2689373";"1.0";"undirected"
"172172";"2316631";"3.0";"undirected"
"172172";"4466947";"1.0";"undirected"
"172172";"211273";"1.0";"undirected"
"172172";"383311";"1.0";"undirected"
"172172";"2885944";"4.0";"undirected"
"172172";"1526123";"4.0";"undirected"
"172172";"1235319";"1.0";"undirected"
"172172";"2877833";"1.0";"undirected"
"172172";"2877919";"2.0";"undirected"
"172172";"2873830";"1.0";"undirected"
"172172";"2865586";"1.0";"undirected"
"172172";"182754";"3.0";"undirected"
"172172";"2890270";"4.0";"undirected"
"172172";"2877992";"5.0";"undirected"
"172172";"2877987";"4.0";"undirected"
"172172";"223792";"1.0";"undirected"
"172172";"3086899";"1.0";"undirected"
"172172";"2877999";"2.0";"undirected"
"172172";"522853";"1.0";"undirected"
"172172";"2878023";"5.0";"undirected"
"172172";"2865810";"3.0";"undirected"
"172172";"2890376";"4.0";"undirected"
"172172";"2931333";"1.0";"undirected"
"172172";"2878161";"4.0";"undirected"
"172172";"482045";"1.0";"undirected"
"172172";"2767658";"1.0";"undirected"
"172172";"1772322";"1.0";"undirected"
"172172";"2874099";"2.0";"undirected"
"172172";"338722";"6.0";"undirected"
"172172";"359244";"1.0";"undirected"
"172172";"826176";"3.0";"undirected"
"172172";"2816818";"1.0";"undirected"
"172172";"64354";"2.0";"undirected"
"172172";"781165";"4.0";"undirected"
"172172";"2698148";"5.0";"undirected"
"172172";"1829794";"1.0";"undirected"
"172172";"2861953";"1.0";"undirected"
"172172";"15299";"1.0";"undirected"
"172172";"2878384";"1.0";"undirected"
"172172";"4803639";"6.0";"undirected"
"172172";"4803636";"4.0";"undirected"
"172172";"4803638";"4.0";"undirected"
"172172";"4803637";"2.0";"undirected"
"172172";"474133";"1.0";"undirected"
"172172";"4140040";"1.0";"undirected"
"172172";"1797196";"1.0";"undirected"
"172172";"2899024";"4.0";"undirected"
"172172";"4803595";"2.0";"undirected"
"172172";"1567793";"5.0";"undirected"
"172172";"1903670";"5.0";"undirected"
"172172";"4803623";"1.0";"undirected"
"172172";"3021971";"1.0";"undirected"
