"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"2514042";"sillon";"1";"0";"1";"1";"0";"0";"1";"0";"0";"857";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"2270335";"woshilapin";"4";"4";"0";"4";"0";"1";"3";"0";"0";"22";"1.0";"0.0";"1.0";"0.0";"0.25";"0.75";"0.0";"4"
"1072240";"cmif4";"6157";"5753";"404";"6157";"0";"3298";"2211";"648";"0";"1387";"0.9343836283904499";"0.06561637160955011";"1.0";"0.0";"0.5356504791294462";"0.35910345947701805";"0.10524606139353582";"122"
"88164";"Med";"7";"6";"1";"1";"6";"0";"7";"0";"0";"2491";"0.8571428571428571";"0.14285714285714285";"0.14285714285714285";"0.8571428571428571";"0.0";"1.0";"0.0";"3"
"2311236";"fougris";"1";"1";"0";"1";"0";"0";"1";"0";"0";"2";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"236651";"Sanjak";"10";"1";"9";"10";"0";"0";"10";"0";"0";"4247";"0.1";"0.9";"1.0";"0.0";"0.0";"1.0";"0.0";"7"
"158826";"cquest";"2648";"1890";"758";"516";"2132";"505";"2043";"100";"0";"15262";"0.7137462235649547";"0.2862537764350453";"0.19486404833836857";"0.8051359516616314";"0.19070996978851965";"0.7715256797583081";"0.0377643504531722";"66"
"1219704";"mitchellm";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"1541221";"Diny64";"1";"1";"0";"1";"0";"1";"0";"0";"0";"42";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"1778799";"SomeoneElse_Revert";"3";"0";"3";"3";"0";"0";"3";"0";"0";"2968";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2"
"352368";"zehpunktbarron";"1";"1";"0";"1";"0";"0";"1";"0";"0";"6014";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"849013";"thibautRe";"12";"7";"5";"10";"2";"6";"5";"1";"0";"761";"0.5833333333333334";"0.4166666666666667";"0.8333333333333334";"0.16666666666666666";"0.5";"0.4166666666666667";"0.08333333333333333";"7"
"270456";"pyrog";"4";"4";"0";"3";"1";"0";"4";"0";"0";"1741";"1.0";"0.0";"0.75";"0.25";"0.0";"1.0";"0.0";"2"
"15489";"vmeurisse";"1";"0";"1";"1";"0";"0";"0";"1";"0";"634";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1"
"2479270";"GéoVélo Rennes Métropole";"6";"0";"6";"1";"5";"0";"5";"1";"0";"535";"0.0";"1.0";"0.16666666666666666";"0.8333333333333334";"0.0";"0.8333333333333334";"0.16666666666666666";"3"
"163973";"badpap";"1";"1";"0";"0";"1";"0";"1";"0";"1";"4112";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"98443";"pierrelm";"13";"13";"0";"1";"12";"1";"12";"0";"0";"661";"1.0";"0.0";"0.07692307692307693";"0.9230769230769231";"0.07692307692307693";"0.9230769230769231";"0.0";"2"
"2305193";"PresDuLac";"15";"0";"15";"15";"0";"1";"12";"2";"0";"6";"0.0";"1.0";"1.0";"0.0";"0.06666666666666667";"0.8";"0.13333333333333333";"6"
"921732";"IsatisBleu";"2";"2";"0";"2";"0";"0";"2";"0";"0";"408";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"1922193";"Superadlen";"1";"1";"0";"0";"1";"0";"1";"0";"0";"4818";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"702619";"Migolu";"3";"3";"0";"3";"0";"0";"2";"1";"0";"60";"1.0";"0.0";"1.0";"0.0";"0.0";"0.6666666666666666";"0.3333333333333333";"2"
